#=== laboratory ================================================================================================================
#                 name
#  
LABORATORY        "JLab" 
#===============================================================================================================================

#=== collaboration =============================================================================================================
#                 name
#
COLLABORATION     "CLAS"
#===============================================================================================================================
   
#=== experiment ================================================================================================================
#                 year        process                         type                 reference
#
EXPERIMENT        "2015"      "e + p -> e + p + gamma"        "fixed target"       "Phys. Rev. D91, 052014 (2015)"
#===============================================================================================================================
 
#==== data ======================================================================================================================
# bin        xB         t        Q2     Ebeam       phi      obs.     value     stat-     stat+      sys-      sys+   err_tot
#
    0   0.19400  -0.11000   1.68000   5.93200  25.00000       Alu   0.37000   0.23000   0.23000   0.01000   0.01000   0.23022
    0   0.19000  -0.12000   1.68000   5.93200  60.00000       Alu   0.34000   0.11000   0.11000   0.03000   0.03000   0.11402
    0   0.18600  -0.13000   1.58000   5.93200  92.00000       Alu   0.23000   0.06000   0.06000   0.01000   0.01000   0.06083
    0   0.17800  -0.13000   1.54000   5.93200 128.00000       Alu   0.13000   0.05000   0.05000   0.01000   0.01000   0.05099
    0   0.17400  -0.13000   1.50000   5.93200 161.00000       Alu   0.05000   0.05000   0.05000   0.01000   0.01000   0.05099
    0   0.17300  -0.13000   1.51000   5.93200 198.00000       Alu  -0.05000   0.05000   0.05000   0.00000   0.00000   0.05000
    0   0.17700  -0.13000   1.52000   5.93200 235.00000       Alu  -0.21000   0.06000   0.06000   0.01000   0.01000   0.06083
    0   0.18500  -0.13000   1.60000   5.93200 266.00000       Alu  -0.28000   0.06000   0.06000   0.01000   0.01000   0.06083
    0   0.19000  -0.12000   1.68000   5.93200 305.00000       Alu  -0.15000   0.10000   0.10000   0.02000   0.02000   0.10198
    1   0.19000  -0.21000   1.61000   5.93200  97.00000       Alu   0.19000   0.19000   0.19000   0.06000   0.06000   0.19925
    1   0.18200  -0.23000   1.57000   5.93200 128.00000       Alu   0.17000   0.10000   0.10000   0.03000   0.03000   0.10440
    1   0.17900  -0.23000   1.51000   5.93200 161.00000       Alu   0.09000   0.08000   0.08000   0.02000   0.02000   0.08246
    1   0.17800  -0.23000   1.54000   5.93200 199.00000       Alu  -0.12000   0.07000   0.07000   0.02000   0.02000   0.07280
